Date,Hour,Time Block,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh),timestamp,delivery_date,scraped_at_UTC,market
05-10-2025,9,08:00 - 08:15,7173.1,39333.9,6072.4,6072.4,1799.99,2025-10-05 08:00:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,9,08:15 - 08:30,7020.6,41067.9,5918.3,5918.3,1799.32,2025-10-05 08:15:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,9,08:30 - 08:45,7069.5,43473.4,6044.9,6044.9,1749.37,2025-10-05 08:30:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,9,08:45 - 09:00,7148.6,44686.8,6045.8,6045.8,1645.09,2025-10-05 08:45:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,10,09:00 - 09:15,6828.8,46224.0,5826.9,5826.9,1213.9,2025-10-05 09:00:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,10,09:15 - 09:30,6763.1,45494.2,5725.1,5725.1,1429.94,2025-10-05 09:15:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,10,09:30 - 09:45,6614.0,46458.3,5451.8,5451.8,1218.5,2025-10-05 09:30:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,10,09:45 - 10:00,6434.8,46651.1,5282.7,5282.7,1155.05,2025-10-05 09:45:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,11,10:00 - 10:15,6267.3,49274.8,5108.3,5108.3,1012.08,2025-10-05 10:00:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,11,10:15 - 10:30,6369.5,49859.6,5207.0,5207.0,1182.0,2025-10-05 10:15:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,11,10:30 - 10:45,6526.7,50604.3,5373.3,5373.3,1243.48,2025-10-05 10:30:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,11,10:45 - 11:00,6483.8,50951.0,5347.1,5347.1,1228.51,2025-10-05 10:45:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,12,11:00 - 11:15,6552.7,50870.9,5348.7,5348.7,1429.08,2025-10-05 11:00:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,12,11:15 - 11:30,6548.3,51222.5,5347.9,5347.9,1429.23,2025-10-05 11:15:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,12,11:30 - 11:45,6561.2,50993.3,5399.5,5399.5,1323.87,2025-10-05 11:30:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,12,11:45 - 12:00,6509.8,50816.7,5353.1,5353.1,1323.26,2025-10-05 11:45:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,13,12:00 - 12:15,6495.9,50913.0,5344.7,5344.7,1262.94,2025-10-05 12:00:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,13,12:15 - 12:30,6433.7,50750.2,5289.9,5289.9,1296.81,2025-10-05 12:15:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,13,12:30 - 12:45,6449.5,50750.4,5309.0,5309.0,1323.74,2025-10-05 12:30:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,13,12:45 - 13:00,6419.4,50750.9,5265.14,5265.14,1340.78,2025-10-05 12:45:00,2025-10-05,2025-12-26T16:25:57Z,DAM
05-10-2025,14,13:00 - 13:15,6075.2,51442.9,5190.6,5190.6,1222.12,2025-10-05 13:00:00,2025-10-05,2025-12-26T16:25:57Z,DAM
